start_id,syndrome_name,syndrome_element,main_complain,main_symptom
241,营卫不和,['营卫不和'],"['自汗', '阵发性发热汗出']","['阵发性发热汗出', '自汗', '脉缓']"
241,脾伤气滞，络瘀较甚，或兼有邪实,"['血瘀', '气滞']",['腹痛拒按'],"['腹胀', '腹痛']"
23,心阳不足，心失所养,['虚'],['心悸'],"['心悸', '心悸喜按']"
27,心阴阳两虚,['虚'],['心动悸'],"['心动悸', '脉结代']"
34,阴阳两伤，肌肤失温，筋脉失养,['虚'],['脚挛急'],"['恶寒', '脚挛急']"
35,血虚寒厥，血脉不畅,['虚'],['手足厥冷'],"['脉细弱', '手足厥冷']"
37,阳气暴虚，阴寒内盛,['虚'],['烦躁夜静'],"['脉沉微', '烦躁夜静']"
76,阴盛阳衰证,['虚'],,"['畏寒', '手足厥冷', '脉沉细']"
122,下元不固，滑脱不禁,['虚'],['泄泻'],['利下不止']
27,上焦心阳不足，下焦寒饮欲动,"['虚', '水饮']",['脐下悸'],"['小便不利', '脐下悸']"
62,阳虚水泛证,"['虚', '水饮']",,"['身振颤', '眩晕', '小便不利']"
111,心阳亏虚，下焦阴寒，乘虚上逆,"['虚', '水饮']",['心悸'],"['苔水滑', '心动悸', '气上冲']"
120,脾虚水停，谁气上冲,"['虚', '水饮']",['头晕'],"['起即头眩', '气上冲']"
239,热扰胸膈兼中焦虚寒,"['虚', '热']","['心中懊', '便溏']","['心中懊', '泄泻']"
23,脾虚失运，气滞络瘀,"['虚', '气滞']",['腹痛'],"['腹满时痛', '食欲减退']"
110,脾气虚弱，运化失健，气机阻滞,"['虚', '气滞']",['腹胀'],"['腹按之濡', '腹胀']"
21,心阳虚弱，心神不敛,"['虚', '寒']",['心悸'],"['不寐', '心悸', '烦躁', '脉沉迟']"
21,心阳亏虚，心神不敛，复被痰扰,"['虚', '寒']","['心悸', '惊狂']","['发狂', '坐卧不安', '心悸', '惊恐']"
21,中焦脾虚，气血不足，复被邪扰,"['虚', '寒']","['腹痛', '心悸']","['腹痛', '心悸', '腹急痛', '烦躁']"
22,阳气不足,"['虚', '寒']","['手足厥冷', '烦躁']","['手足厥冷', '呕吐']"
44,脾肾阳虚，大肠滑脱,"['虚', '寒']","['利下不止', '便脓血']","['便脓血', '苔白', '手足冷', '利下不止']"
77,吐利交作，亡阳脱液,"['虚', '寒']",['频繁吐利后利止'],"['畏寒', '频繁吐利后利止', '脉微']"
108,胃中虚寒，浊阴上逆,"['虚', '寒']","['呕吐', '头痛']","['头痛', '呕吐', '手足厥冷']"
238,中焦脾虚，气血不足，复被邪扰,"['虚', '寒']","['腹痛', '心悸']","['心悸', '腹急痛', '烦躁', '腹痛']"
23,脾阳虚弱，寒湿内阻，表邪不解,"['虚', '表']","['泄泻', '近期外感']","['心下痞', '泄泻', '发热', '利下不止']"
113,卫阳不固，阴津不足，兼表证不解,"['虚', '表']","['漏汗', '自汗', '恶寒']","['恶风', '自汗', '漏汗']"
113,营卫不和，气营不足，筋脉失养,"['虚', '表']",['身痛'],"['脉沉迟', '身痛']"
87,痰热互结，正在心下,"['痰', '热']",['心下痞硬'],"['少腹满', '胃按则痛']"
27,胃阳不足，水气中焦,['水饮'],['眩晕'],"['眩晕', '心悸']"
